content,tf
People should NOT wear masks while exercising,Real
The likelihood of shoes spreading COVID-19 is very low,Real
The coronavirus disease (COVID-19) is caused by a virus NOT by bacteria,Real
The prolonged use of medical masks* when properly worn DOES NOT cause CO2 intoxication nor oxygen deficiency,Real
Most people who get COVID-19 recover from it,Real
Drinking alcohol does not protect you against COVID-19 and can be dangerous,Real
Thermal scanners CANNOT detect COVID-19,Real
There are currently no drugs licensed for the treatment or prevention of COVID-19,Real
Adding pepper to your soup or other meals DOES NOT prevent or cure COVID-19,Real
COVID-19 is NOT transmitted through houseflies,Real
Spraying and introducing bleach or another disinfectant into your body WILL NOT protect you against COVID-19 and can be dangerous,Real
Drinking methanol ethanol or bleach DOES NOT prevent or cure COVID-19 and can be extremely dangerous,Real
What areas should be prioritized for disinfection in non-health care settings?,Real
Which surface disinfectants are effective against COVID-19 in non-health care setting environments?,Real
What protection measures should people take when using disinfectants?,Real
What is the guidance for the disinfection of outdoor spaces such as open markets roads?,Real
Are public systems for disinfecting individuals such as spraying via tunnel or chambers safe to use?,Real
What are the recommended practices once back home after outdoor activities?,Real
Are gloves recommended for the community in public spaces to protect against COVID-19 for example when going to the grocery store supermarket?,Real
How should I clean food items from the grocery store for example fruit vegetables or packaged items?,Real
What is serology?,Real
What is the difference between molecular testing and serologic testing?,Real
Does the presence of antibodies mean that a person is immune?,Real
How is WHO using serology as part of its response?,Real
What are the expected results from serologic studies?,Real
When can we expect results?,Real
What are the limitations of serology for a novel pathogen?,Real
What are the results of seroepidemiology studies?,Real
What do these results mean?,Real
What is herd immunity?,Real
What is an immunity passport or a risk-free certificate and what is WHO’s view of this?,Real
What is WHO’s view on masks?,Real
Does WHO advise the use of non-medical fabric masks in the general public?,Real
What is WHO recommending to countries that are considering the use of masks for the general public?,Real
What types of masks are used against the spread of COVID-19?,Real
Which individuals should wear medical masks in the context of COVID-19 according to WHO?,Real
How should I use and wear a medical mask?,Real
Does WHO recommend the use of fabric masks for the general public?,Real
Since there are many types of fabric masks available does WHO have any guidance on which masks to use?,Real
How should I wear and care for a fabric mask?,Real
Does WHO recommend the use of gloves in the community to prevent transmission of COVID-19?,Real
What are the key measures all people should do to protect themselves and others in the context of the COVID-19 pandemic?,Real
Who is at risk of developing severe disease?,Real
Is there a vaccine drug or treatment for COVID-19?,Real
What can I do to prevent infection?,Real
What can older people do to prepare for COVID-19 in their community?,Real
How can I keep healthy on a daily basis during the COVID-19 pandemic?,Real
What should I do if I have symptoms of COVID-19?,Real
I have recently lost someone I care about. What advice do you have to help me cope?,Real
Can adolescents catch COVID-19?,Real
Can adolescents spread COVID-19 to other people even if they have mild or no symptoms?,Real
Since there are few known cases of adolescents getting seriously ill with COVID-19 should I go to a health facility if I develop symptoms of the disease?,Real
What should I do if someone in my family gets really ill with COVID-19?,Real
I am on medication for a chronic health condition. Should I change anything?,Real
I was due to get vaccinated for HPV meningitis or tetanus but immunization services have been disrupted. Should I be concerned?,Real
I am bored staying home. Since I am very unlikely to get severely ill even if I was to get COVID-19 why is it important that I follow the guidelines to prevent transmission such as keeping physical distance from other people?,Real
Some of my friends are not sticking to the rules about physical distancing. What should I do?,Real
I am feeling really anxious about COVID-19 and its impact on my life. What should I do?,Real
When will this pandemic end so I can go back to school and meet up with my friends?,Real
Schools are reopening in some areas of my country. Is it safe to go back to school?,Real
I know there is a risk of getting COVID-19 at the moment but I feel fine. Can I still play sports?,Real
I am missing out on my education because of the COVID-19 pandemic. What should I do?,Real
COVID-19 is everywhere in the news and I am finding it difficult to know what is true and what is false. What should I do?,Real
Is it safe to have sex at this time?,Real
In the lockdown I am spending much more time online playing games socialising and studying. Should I be worried about this?,Real
I heard I can be hurt by online contacts. What are my risks and how I can protect myself online.,Real
Since my parents stopped going out to work they have been arguing with each other much more and in some instances I have seen one parent harm or hurt the other either verbally or physically. I don’t feel safe at home. What should I do?,Real
I don’t like the way someone touches me at home and we are both at home all the time because of the pandemic. What should I do?,Real
Can COVID-19 be passed through breastfeeding?,Real
In communities where COVID-19 is prevalent should mothers breastfeed?,Real
Following delivery should a baby still be immediately placed skin-to-skin and breastfed if the mother is confirmed or suspected to have COVID-19?,Real
Can women with confirmed or suspected COVID-19 breastfeed?,Real
If a mother confirmed or suspected to have COVID-19 does not have a medical face mask should she still breastfeed?,Real
I have confirmed or suspected COVID-19 and am too unwell to breastfeed my baby directly. What can I do?,Real
I had confirmed or suspected COVID-19 and was unable to breastfeed when can I start to breastfeed again?,Real
I have confirmed or suspected COVID-19 is it safer to give my baby infant formula milk?,Real
Why are self-care interventions important during a pandemic like COVID-19?,Real
Do I need to see a health worker for self care actions?,Real
What self care actions can I take to protect my sexual and reproductive health?,Real
How can I get healthcare support during the COVID-19 pandemic for a self-care intervention?,Real
How should imported foods from countries with high prevalence of COVID-19 be treated?,Real
Do food inspectors need to wear any protective equipment?,Real
What do food inspectors need to consider when reopening a food business when the pandemic is over?,Real
What are the lab protocols for identifying the virus in food? On surfaces?,Real
Is quarantine necessary for live animals imported from countries experiencing a large numbers of COVID-19 cases?,Real
How do we ensure the food supply chain remains intact to prevent food shortages?,Real
How can food businesses remain safe from virus contamination?,Real
Should grocery store workers wear gloves? Masks?,Real
What is the protocol when an employee working in a food business becomes ill with COVID-19?,Real
When can an employee return to work following illness? Are temperature checks appropriate?,Real
What specific precautions do food workers need to take?,Real
How should employees maintain safe distance from one another during food production and processing?,Real
How should baked goods and fresh produce be displayed in a food market/grocery store?,Real
How should shopping trolleys or carts be disinfected?,Real
What is the most appropriate sanitizer to use on surfaces in a food production environment?,Real
Could the virus be transmitted from humans to food animals or vice versa?,Real
What is known about various conditions affecting survivability of the virus?,Real
What measures should be taken to ensure safe transport of food during this pandemic?,Real
What measures should be taken to ensure safe water is used in food production during this pandemic?,Real
How should food premises be cleaned/disinfected during this pandemic?,Real
Can I get COVID-19 from food?,Real
Can the virus live on the surface of foods (including fruits and vegetables frozen foods pre-packaged foods)?,Real
How to wash fruits and vegetables? Just with water or something else?,Real
Can the virus live on the surface of food packaging? How long? Is it necessary to disinfect?,Real
How long is it to cook food? To what temperature to kill the virus?,Real
What precautions should consumers take in grocery stores?,Real
Is food/grocery delivery safe?,Real
What is the best household disinfectant for surfaces?,Real
Is it still safe to go to food markets? Animal markets? Wet markets?,Real
As a smoker is my risk of getting the COVID-19 virus higher than that of a non-smoker?,Real
As a smoker am I likely to get more severe symptoms if infected?,Real
As a vaper am I more likely to be infected or to have more severe symptoms if infected?,Real
What about using smokeless tobacco like chewing tobacco?,Real
What does WHO recommend for tobacco users?,Real
What can I do to protect people from the risks associated with smoking smokeless tobacco use and vaping?,Real
Does nicotine use affect my chances in the context of COVID-19?,Real
Can COVID-19 be transmitted at the workplace?,Real
What is the risk of contracting COVID-19 in the workplace?,Real
How can people assess the risk for exposure to COVID-19 in their workplace and plan for preventive measures?,Real
Who should carry out the workplace risk assessment?,Real
What are the key considerations for the workplace risk assessment?,Real
How should employers decide when to open close or re-open workplaces and/or suspend or downscale work activities?,Real
What key measures to protect against COVID-19 should be undertaken in ALL workplaces?,Real
What additional measures should be taken at workplaces and for jobs at medium risk?,Real
What additional measures should be taken at workplaces and for jobs at high risk?,Real
What should be taken into consideration when setting a physical distance at the workplace?,Real
What are the rights duties and responsibilities of employers?,Real
What are the rights duties and responsibilities of workers?,Real
How can workplaces plan for the prevention and mitigation of COVID-19?,Real
Can the return to the workplace be immediate after public measures are lifted?,Real
Does WHO recommend thermal testing of people entering a workplace?,Real
Does WHO recommend workers wear masks at the workplace (office or others)? If yes what type of masks?,Real
Are there any directives on office ventilation and air conditioning use?,Real
What mental health and psychosocial support should be provided to workers during COVID-19?,Real
What is dexamethasone and does it work against COVID-19?,Real
Were all patients in RECOVERY given dexamethasone?,Real
Does WHO recommend the use of dexamethasone for COVID-19 patients?,Real
Is dexamethasone on the WHO Essential Medicines List?,Real
Is dexamethasone prequalified by WHO?,Real
What dose was used in the Recovery trial?,Real
What are the typical side effects of dexamethasone?,Real
How do the doses used in the RECOVERY trial compare with those used normally?,Real
Can steroids be used in the elderly/children/pregnancy?,Real
Is dexamethasone available across the world?,Real
How many API suppliers are there?,Real
Is dexamethasone affordable/what is the price per treatment?,Real
Why was the use of hydroxychloroquine stopped in the Solidarity Trial?,Real
What will happen to the people who were already enrolled in the hydroxychloroquine arm of the trial?,Real
What is WHO’s view of the use of hydroxychloroquine in pre or post-exposure prophylaxis?,Real
How many malaria-affected countries have reported cases of COVID-19?,Real
Should core malaria vector control interventions be maintained in view of the rapid global spread of COVID-19?,Real
Should WHO-recommended preventive therapies be maintained in sub-Saharan Africa?,Real
Are there any changes to WHO guidance with respect to malaria diagnosis and treatment?,Real
What additional special measures may be needed in the context of COVID-19?,Real
What are the key considerations for countries that are working to eliminate malaria or prevent re-establishment of transmission?,Real
Why is WHO particularly concerned about the spread of COVID-19 in malaria-affected areas?,Real
Have there been disruptions in the global supply of key malaria-related commodities as a result of the COVID-19 pandemic?,Real
What is WHO’s position on the use of chloroquine and hydroxychloroquine in the context of the COVID-19 response?,Real
What is WHO’s position on the use of Artemisia plant material for the prevention or treatment of malaria and/or COVID-19?,Real
What is WHO doing to support malaria-affected countries in the context of COVID-19?,Real
Are people with tuberculosis likely to be at increased risk of COVID-19 infection illness and death?,Real
Do COVID-19 and tuberculosis spread in the same way?,Real
What is the potential impact of COVID-19 pandemic on essential tuberculosis services?,Real
What should health authorities do to provide sustainability of essential tuberculosis services during the COVID-19 pandemic?,Real
How can health authorities ensure supplies of tuberculosis medicines and diagnostics?,Real
What services can be leveraged across both diseases?,Real
What measures should be in place to protect staff working in tuberculosis laboratories and healthcare facilities and community health workers from COVID-19 infection?,Real
How can we protect people seeking tuberculosis care during the COVID-19 pandemic?,Real
Can tuberculosis and COVID-19 be tested on the same type of specimen?,Real
Should all people being evaluated for tuberculosis also be tested for COVID-19 and vice-versa?,Real
Is tuberculosis treatment different in people who have both TB and COVID-19?,Real
Does the BCG vaccine protect people from COVID-19?,Real
